ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
21,0.0,0.0,0.0,0.0,0.0,0.0,0,5,-1,5,0,0,0,0,g,?,g
22,0.0,0.0,0.0,0.0,0.0,0.0,0,5,-1,-1,0,0,0,0,gamma,?,\gamma
23,91187.6,2.1,2.1,2495.2,2.3,2.3,0,5,5,5,0,0,0,0,Z,?,Z^{0}
24,80379.0,12.0,12.0,2080.0,40.0,40.0,0,5,5,5,2,1,0,0,W,?,W^{+}
-24,80379.0,12.0,12.0,2080.0,40.0,40.0,0,5,5,5,2,-1,0,0,W,?,W^{-}
25,125250.0,170.0,170.0,3.2,2.8,2.2,0,5,5,5,0,0,0,0,H,?,H^{0}
111,134.9768,0.0005,0.0005,7.81e-06,1.2e-07,1.2e-07,1,-1,-1,1,0,0,0,0,pi,(uU-dD)/sqrt(2),\pi^{0}
113,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,-1,0,0,0,0,rho(770),(uU-dD)/sqrt(2),\rho(770)^{0}
115,1318.2,0.6,0.6,107.0,5.0,5.0,1,-1,1,1,0,0,0,0,a(2)(1320),(uU-dD)/sqrt(2),a_{2}(1320)^{0}
117,1688.8,2.1,2.1,161.0,10.0,10.0,1,1,-1,-1,0,0,0,0,rho(3)(1690),(uU-dD)/sqrt(2),\rho_{3}(1690)^{0}
119,1967.0,16.0,16.0,324.0,15.0,18.0,1,-1,1,1,0,0,0,0,a(4)(1970),(uU-dD)/sqrt(2),a_{4}(1970)^{0}
130,497.611,0.013,0.013,1.287e-14,5e-17,5e-17,1/2,5,-1,5,0,0,0,0,K(L),p(dS)-q(Ds),K_{L}^{0}
211,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2,1,0,0,pi,uD,\pi^{+}
-211,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18,1,-1,-1,5,2,-1,0,0,pi,Ud,\pi^{-}
213,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,5,2,1,0,0,rho(770),uD,\rho(770)^{+}
-213,775.26,0.23,0.23,149.1,0.8,0.8,1,1,-1,5,2,-1,0,0,rho(770),Ud,\rho(770)^{-}
215,1318.2,0.6,0.6,107.0,5.0,5.0,1,-1,1,5,2,1,0,0,a(2)(1320),uD,a_{2}(1320)^{+}
